num,img,title,field,organizer,start_day,finish_day,homepage
44,https://www.wevity.com/upload/contest/20240603221332_bdeee216.jpg,2024 제 2회 EUMG 신인 작곡가 발굴 프로젝트 가곡 공모전,"예체능, 미술, 음악",EUMG,2024-05-25,2024-07-05,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=87859
45,https://www.wevity.com/upload/contest/20240603153936_f14a9763.jpg,2024년 청소년지도사 국민인식 제고 공모전,"예체능, 미술, 음악",한국청소년활동진흥원,2024-06-01,2024-06-30,https://www.kywa.or.kr/pressinfo/notice_view.jsp?bgubun=&currPage=1&searchText=&searchColumn=&searchTextEn=&bgubun=&cate=&no=33660
46,https://www.wevity.com/upload/contest/20240603152844_755c0179.jpg,2024 KIND 국민참여단 모집,"대외활동, 서포터즈",한국해외인프라도시개발지원공사,2024-06-03,2024-06-21,http://kindkorea.or.kr/?p=18&tabGubun=bbs&nation=40&page=1&viewMode=view&idx=1994
47,https://www.wevity.com/upload/contest/20240603103854_39e5ad17.jpg,2024 제2회 상명 계당 학술논문 공모전,"논문, 리포트",상명대학교,2024-06-03,2024-09-01,https://museum.smu.ac.kr/museum/board/news2.do?mode=view&articleNo=747146&article.offset=0&articleLimit=10
48,https://www.wevity.com/upload/contest/20240604104106_6045074d.jpg,2024 대구오페라하우스 카메라타 창작오페라 소재 공모,"예체능, 미술, 음악",대구문화예술진흥원,2024-06-03,2024-06-28,https://www.daeguoperahouse.org/contents/community/page.html?mid=271272275&start=&category=&search_key=&keyword=&mode=view&no=879
49,https://www.wevity.com/upload/contest/20240603151335_fb687b29.jpg,2024 코코지 창작동화 공모전,"문학, 글, 시나리오",주식회사 코코지,2024-06-03,2024-07-07,https://kokozi.house/board/gallery/read.html?no=4412&board_no=1002
50,https://www.wevity.com/upload/contest/20240604103222_a0fd378f.jpg,2024년 창업중심대학 대구경북권 청년 창업아이템 챌린지,"취업, 창업",대구대학교 창업지원단,2024-05-29,2024-06-26,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=169288
51,https://www.wevity.com/upload/contest/20240603143042_f756d41a.jpg,2024년 한국산업기술진흥원(KIAT) 국민참여혁신단(아이디어형) 모집,"대외활동, 서포터즈",한국산업기술진흥원,2024-06-03,2024-06-28,https://kiat.or.kr/front/board/boardContentsView.do?board_id=5&contents_id=164e47f3cc2b44f4a6cc929cc479f711&MenuId=2124728cc8cc4b74a31bbe97d7977c6d
52,https://www.wevity.com/upload/contest/20240604102454_bd478a9b.jpg,치평 감탄마을 캐릭터 공모전,"디자인, 캐릭터, 웹툰",치평동 주민자치회,2024-05-20,2024-06-21,https://www.seogu.gwangju.kr/board.es?mid=a10311010100&bid=0034&list_no=130674&act=view
53,https://www.wevity.com/upload/contest/20240604101805_6c3a598e.jpg,2024 세상을 바꾸는 시니어 영상공모전,"영상, UCC, 사진",충청북도노인종합복지관,2024-05-27,2024-07-26,http://www.cbsilver.or.kr/main/sub.html?Mode=view&boardID=www13&num=1893&page=0&keyfield=&key=&bCate=
54,https://www.wevity.com/upload/contest/20240604100348_d725519e.jpg,2024년 스타트업 전북 챌린지,"취업, 창업","전북특별자치도, 전북창조경제혁신센터",2024-05-21,2024-06-10,https://event.jbci.or.kr/sub/s1_1_view.html?id=273
55,https://www.wevity.com/upload/contest/20240603142445_e801ab5c.jpg,제20회 보석문화상품 공모전,"예체능, 미술, 음악",익산시보석박물관,2024-09-05,2024-09-10,https://www.jewelmuseum.go.kr/
56,https://www.wevity.com/upload/contest/20240604095345_332c9062.jpg,2024 윤동주문학제 (제11회 전국 초중생 윤동주시화공모전),"문학, 글, 시나리오",종로구,2024-06-25,2024-07-21,https://blog.naver.com/jn_jfac/223457263384
57,https://www.wevity.com/upload/contest/20240604094738_ca17b28e.jpg,2024 윤동주문학제 (제10회 전국 윤동주창작음악제),"예체능, 미술, 음악",종로구,2024-07-22,2024-08-23,https://blog.naver.com/jn_jfac/223457262135
58,https://www.wevity.com/upload/contest/20240603140629_3602120d.jpg,체이싱래빗 상품 크리에이티브 1기 모집,"대외활동, 서포터즈",(주)잇츠한불,2024-05-29,2024-06-09,https://forms.gle/CyZqcuYGjZ854p8E8
59,https://www.wevity.com/upload/contest/20240604092601_577a3c3a.jpg,2024 인디스땅스 오디션 참가자 모집,"예체능, 미술, 음악",경기콘텐츠진흥원,2024-05-20,2024-06-24,https://www.gcon.or.kr/gcon/business/gconNotice/view.do?pbancSrnm=10890&menuNo=200061&pageIndex=1
60,https://www.wevity.com/upload/contest/20240604092020_4a66e4df.jpg,2024 보은대추축제 포스터 및 슬로건 공모전,"예체능, 미술, 음악",보은군,2024-05-31,2024-06-16,https://blog.naver.com/boeuntour/223463259772
61,https://www.wevity.com/upload/contest/20240603135746_9562af8b.jpg,2024년 지속가능발전목표(SDGs) 자원순환 영상 콘텐츠 공모전,"영상, UCC, 사진",안산시 생활폐기물 수집-운반업 협회,2024-06-15,2024-07-26,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=87833
62,https://www.wevity.com/upload/contest/20240603135129_a0ceefed.jpg,제6회 119문화상 공모전,"문학, 글, 시나리오","소방청, 한국소방안전원",2024-08-01,2024-08-31,https://119contest.fire.go.kr/
63,https://www.wevity.com/upload/contest/20240603134701_13981557.jpg,숏폼 드라마 시나리오 공모전,"문학, 글, 시나리오",스튜디오 시선,2024-05-30,2024-06-30,https://www.instagram.com/studiosisun_official/p/C7t3aMjvt-0
64,https://www.wevity.com/upload/contest/20240604090246_67c552be.jpg,초등학생 교통안전 슬로건 공모전,"네이밍, 슬로건",서울특별시교육청,2024-06-03,2024-06-30,https://bbikcontest.prayforsouthkorea.org/
65,https://www.wevity.com/upload/contest/20240603131657_ef9f1791.jpg,2024 제 10회 대한민국 에로티시즘 미술대전,"예체능, 미술, 음악",건강과 성 박물관 by (주)에스메카,2024-09-16,2024-09-27,https://www.sexmuseum.or.kr/art_10th
66,https://www.wevity.com/upload/contest/20240604085058_9d25c7a3.jpg,2024년 CREATE YOUR BEAUTY 발달장애 예술인 그림 공모전,"디자인, 캐릭터, 웹툰",로레알코리아,2024-06-03,2024-06-28,https://thisabled.co.kr/story/?bmode=view&idx=24953668&back_url=&t=board&page=1
67,https://www.wevity.com/upload/contest/20240604084534_337d8263.jpg,경주 사적지에서의 추억 사진 공모전,"영상, UCC, 사진",경주시시설관리공단,2024-06-03,2024-06-28,https://blog.naver.com/gyeongju_fmc/223467174424
68,https://www.wevity.com/upload/contest/20240603130501_4abe4265.jpg,제16회 대한민국 청소년 디자인공모전,"디자인, 캐릭터, 웹툰",사단법인 한국방송정보교육단체연합회,2025-05-01,2024-07-31,https://kbatv.org/event/event_view.asp?ModeType=&part=CT00&sYear=ALL&page=1&pk=637
69,https://www.wevity.com/upload/contest/20240604083114_40f509eb.jpg,제45회 전국학생과학발명품경진대회,"과학, 공학",과학기술정보통신부,2024-07-04,2024-07-04,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2405-0000954
